"","timestamp","status","userid"
"1","-05-18 21:55:17.441","True",34
"2","-05-23 11:00:41.401","True",62
"3","-05-18 18:31:07.875","True",58
"4","-05-19 16:33:07.818","True",123
"5","-05-18 05:54:36.609","False",8
"6","-06-03 19:59:59.460","True",57
"7","-06-05 22:20:59.557","False",84
"8","-05-13 22:42:36.220","True",49
"9","-05-25 05:09:57.480","True",104
"10","-06-01 15:33:02.955","False",144
"11","-05-24 10:26:08.727","True",59
"12","-06-04 11:41:02.399","True",12
"13","-05-13 06:59:37.553","False",152
"14","-05-24 09:54:45.894","True",5
"15","-05-30 01:37:34.653","True",25
"16","-05-21 12:29:01.124","True",123
"17","-05-10 19:10:11.816","True",67
"18","-05-29 13:06:19.057","True",6
"19","-05-13 04:50:12.408","True",111
"20","-05-10 03:29:36.934","True",4
"21","-05-20 09:18:16.456","True",36
"22","-05-17 22:08:30.355","True",121
"23","-05-21 00:07:16.353","True",57
"24","-05-13 05:15:34.245","False",107
"25","-06-05 03:22:31.416","False",108
"26","-05-26 10:34:50.516","True",84
"27","-05-21 10:22:32.970","False",64
"28","-06-10 13:20:46.510","True",76
"29","-05-20 09:29:35.991","False",36
"30","-05-27 01:25:39.532","True",77
"31","-05-18 07:24:19.564","False",123
"32","-05-09 01:11:27.900","False",152
"33","-06-04 10:06:26.836","True",63
"34","-06-08 18:55:39.366","True",155
"35","-05-12 04:08:04.677","True",101
"36","-05-25 15:52:09.561","True",88
"37","-05-16 15:15:15.312","True",123
"38","-05-28 23:07:43.403","False",38
"39","-05-16 08:09:06.267","True",106
"40","-05-18 15:27:29.368","False",152
"41","-06-06 21:45:21.493","False",57
"42","-05-11 03:21:11.845","False",132
"43","-05-21 19:30:33.711","False",6
"44","-06-05 03:20:33.071","True",113
"45","-05-13 08:38:44.600","False",48
"46","-05-23 03:30:40.829","True",152
"47","-06-02 23:37:53.301","True",62
"48","-06-04 04:08:11.802","True",152
"49","-05-10 06:30:55.617","False",152
"50","-05-11 16:12:45.706","False",6
