"","timestamp","bearing","speed","network_provider","gps_provider","suburb","city","region","moving","userid","fclass0","code0","name0","fclass1","code1","name1","fclass2","code2","name2","fclass3","code3","name3","fclass4","code4","name4","fclass5","code5","name5","fclass6","code6","name6","fclass7","code7","name7","fclass8","code8","name8","fclass9","code9","name9","fclass10","code10","name10","fclass11","code11","name11","fclass12","code12","name12","fclass13","code13","name13","fclass14","code14","name14","fclass15","code15","name15","fclass16","code16","name16","fclass17","code17","name17","fclass18","code18","name18","fclass19","code19","name19"
"1","-05-16 09:15:00",-1,-1,"True","False","","Agnedo","Trentino-Alto Adige/Südtirol","False",61,"residential",7203,"","school",2082,"Scuola primaria Agnedo","fire_station",2002,"Vigili volontari del Fuoco di Villa Agnedo","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","-05-11 03:24:00",-1,-1,"True","False","","Agnedo","Trentino-Alto Adige/Südtirol","False",61,"residential",7203,"","school",2082,"Scuola primaria Agnedo","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","-05-16 02:43:00",-1,-1,"True","False","","Agnedo","Trentino-Alto Adige/Südtirol","False",61,"residential",7203,"","school",2082,"Scuola primaria Agnedo","fire_station",2002,"Vigili volontari del Fuoco di Villa Agnedo","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","-05-16 01:43:00",-1,-1,"True","False","","Agnedo","Trentino-Alto Adige/Südtirol","False",61,"residential",7203,"","school",2082,"Scuola primaria Agnedo","fire_station",2002,"Vigili volontari del Fuoco di Villa Agnedo","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","-05-11 13:01:00",-1,-1,"True","False","Centro storico Trento","Trento","Trentino-Alto Adige/Südtirol","False",61,"recycling",2030,"","museum",2722,"S.A.S.S.- Tridentum","parking_bicycle",5270,"","clothes",2512,"Corner","theatre",2201,"Teatro ""Sociale""","attraction",2721,"Teatro ""Sociale""","bench",2902,"","bar",2305,"Caffè Città","memorial",2724,"Lapide commemorativa di Gianantonio Manci","clothes",2512,"Niccolini","vending_cigarette",2591,"","newsagent",2527,"","clothes",2512,"Casa della Calza","clothes",2512,"MaxMara","attraction",2721,"Casa-torre Negri","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","-05-15 15:48:00",-1,-1,"True","False","Tiro a segno","Castel Ivano","Trentino-Alto Adige/Südtirol","False",61,"residential",7203,"","fire_station",2002,"Vigili volontari del Fuoco di Villa Agnedo","town_hall",2008,"Ex municipio di Villa Agnedo","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","-05-16 13:08:00",-1,-1,"True","False","Tiro a segno","Castel Ivano","Trentino-Alto Adige/Südtirol","False",61,"residential",7203,"","school",2082,"Scuola primaria Agnedo","fire_station",2002,"Vigili volontari del Fuoco di Villa Agnedo","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","-05-24 12:59:00",-1,-1,"True","False","San Giorgio","Rovereto","Trentino-Alto Adige/Südtirol","False",113,"residential",7203,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","-05-16 12:58:00",-1,-1,"True","False","Tiro a segno","Castel Ivano","Trentino-Alto Adige/Südtirol","False",61,"residential",7203,"","school",2082,"Scuola primaria Agnedo","fire_station",2002,"Vigili volontari del Fuoco di Villa Agnedo","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","-05-26 12:03:00",-1,-1,"True","False","","Agnedo","Trentino-Alto Adige/Südtirol","False",61,"residential",7203,"","school",2082,"Scuola primaria Agnedo","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","-05-12 04:34:00",-1,-1,"True","False","","Agnedo","Trentino-Alto Adige/Südtirol","False",61,"residential",7203,"","school",2082,"Scuola primaria Agnedo","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","-05-21 01:26:00",-1,-1,"True","False","Mussoi","Belluno","Veneto","False",113,"residential",7203,"","school",2082,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
