"","timestamp","value","userid"
"1","-06-01 09:18:28.688",5,113
"2","-05-25 18:55:30.237",0,113
"3","-05-16 14:09:14.200",5,113
"4","-05-17 15:16:42.198",0,113
"5","-05-16 18:59:12.632",0,113
"6","-05-26 10:20:12.176",5,113
"7","-05-12 18:52:03.961",5,113
"8","-06-06 17:59:18.041",0,113
"9","-06-01 15:21:28.117",5,113
"10","-05-25 22:55:20.763",5,113
"11","-06-06 20:43:10.323",0,113
"12","-06-02 21:55:12.020",5,113
"13","-05-10 18:51:07.494",5,113
"14","-05-12 23:08:55.594",0,113
"15","-05-12 00:26:30.096",0,113
"16","-05-12 23:46:40.307",0,113
"17","-05-29 20:27:41.528",0,113
"18","-05-10 18:37:02.745",0,113
"19","-05-29 23:58:11.655",0,113
"20","-05-10 18:29:26.518",5,113
"21","-05-26 10:48:08.581",5,113
"22","-05-26 04:41:53.752",5,113
"23","-05-10 19:36:14.726",5,113
"24","-05-10 19:26:57.241",0,113
"25","-05-16 07:24:00.753",5,113
"26","-05-12 18:27:14.954",5,113
"27","-05-16 14:23:48.546",5,113
"28","-05-22 15:15:43.101",5,113
"29","-05-16 11:37:33.578",5,113
"30","-05-16 18:49:07.256",5,113
"31","-05-16 14:35:28.402",0,113
"32","-06-06 20:32:00.126",0,113
"33","-05-10 18:05:59.694",0,113
"34","-05-14 12:24:26.202",5,113
"35","-05-14 17:13:36.380",5,113
"36","-06-06 18:03:46.091",5,113
"37","-05-29 22:01:34.533",5,113
"38","-05-10 13:33:45.974",5,113
"39","-05-10 13:45:23.400",5,113
"40","-06-02 10:14:25.191",5,113
"41","-05-26 09:17:14.008",5,113
"42","-05-13 20:27:10.282",5,113
"43","-05-10 19:06:14.507",0,113
"44","-05-26 12:06:39.828",0,113
"45","-05-15 09:55:34.986",5,113
"46","-05-17 18:20:12.135",5,113
"47","-05-10 17:27:23.207",5,113
"48","-05-12 18:23:15.267",5,113
"49","-05-25 01:36:39.435",5,113
"50","-05-26 11:17:25.761",5,113
