"","starttimestamp","endtimestamp","status","userid"
"1","-05-08 10:07:45.352","-05-08 10:02:26.803","SCREEN_OFF",61
"2","-05-20 09:50:13.833","-05-20 09:49:54.091","SCREEN_ON",113
"3","-06-03 16:30:13.129","-06-03 16:24:39.430","SCREEN_ON",113
"4","-05-23 22:08:22.975","-05-23 22:05:45.755","SCREEN_ON",113
"5","-05-10 19:41:35.119","-05-10 19:39:42.848","SCREEN_ON",113
"6","-05-28 21:12:46.506","-05-28 21:12:12.162","SCREEN_ON",113
"7","-06-04 09:44:01.533","-06-04 09:26:36.264","SCREEN_OFF",61
"8","-05-09 10:50:25.625","-05-09 10:50:12.699","SCREEN_OFF",113
"9","-05-10 19:28:34.403","-05-10 19:25:41.424","SCREEN_OFF",113
"10","-05-21 17:52:19.269","-05-21 17:52:01.665","SCREEN_ON",61
"11","-05-09 23:29:31.203","-05-09 23:29:31.050","SCREEN_OFF",113
"12","-05-09 23:18:34.350","-05-09 23:18:31.588","SCREEN_ON",113
"13","-05-09 16:28:39.097","-05-09 16:28:35.126","SCREEN_ON",113
"14","-05-20 09:38:11.274","-05-20 09:35:31.363","SCREEN_OFF",61
"15","-05-11 11:25:27.606","-05-11 11:25:27.579","SCREEN_ON",61
"16","-05-30 18:57:00.905","-05-30 18:56:14.619","SCREEN_OFF",113
"17","-06-06 10:59:46.536","-06-06 10:59:20.982","SCREEN_ON",113
"18","-05-17 16:12:52.615","-05-17 16:12:45.909","SCREEN_OFF",113
"19","-05-09 13:04:08.588","-05-09 13:03:41.600","SCREEN_ON",61
"20","-05-29 10:15:12.149","-05-29 10:14:27.259","SCREEN_OFF",113
"21","-05-23 20:26:34.677","-05-23 20:25:05.369","SCREEN_OFF",113
"22","-05-22 10:21:23.115","-05-22 10:16:21.108","SCREEN_OFF",61
"23","-05-11 08:57:35.954","-05-11 08:57:25.807","SCREEN_ON",61
"24","-05-22 15:51:52.501","-05-22 15:47:24.344","SCREEN_ON",61
"25","-05-13 11:07:56.189","-05-13 11:05:42.380","SCREEN_OFF",61
"26","-05-24 20:04:45.117","-05-24 20:03:39.138","SCREEN_ON",113
"27","-05-11 09:08:53.095","-05-11 09:08:53.086","SCREEN_ON",61
"28","-05-15 12:55:49.132","-05-15 12:52:34.578","SCREEN_OFF",113
"29","-05-11 21:32:37.666","-05-11 21:32:27.539","SCREEN_ON",61
"30","-05-12 23:11:46.585","-05-12 23:10:30.801","SCREEN_ON",113
"31","-05-25 23:25:35.981","-05-25 23:25:25.519","SCREEN_ON",113
"32","-05-09 12:50:33.145","-05-09 12:50:31.402","SCREEN_ON",113
"33","-05-28 15:48:20.389","-05-28 15:48:18.882","SCREEN_ON",113
"34","-05-10 17:42:26.062","-05-10 17:41:20.334","SCREEN_OFF",113
"35","-06-01 18:11:16.434","-06-01 18:10:48.731","SCREEN_ON",113
"36","-05-22 22:27:35.657","-05-22 22:27:34.960","SCREEN_ON",61
"37","-05-21 17:37:31.447","-05-21 17:30:09.410","SCREEN_OFF",61
"38","-05-24 18:10:59.355","-05-24 18:10:42.131","SCREEN_OFF",113
"39","-05-21 18:33:55.747","-05-21 18:33:16.339","SCREEN_ON",113
"40","-05-14 12:24:52.315","-05-14 12:24:44.500","SCREEN_OFF",113
"41","-05-18 22:03:22.609","-05-18 21:51:20.875","SCREEN_OFF",113
"42","-05-21 15:31:43.617","-05-21 15:31:33.051","SCREEN_ON",113
"43","-05-20 23:50:52.624","-05-20 23:50:42.394","SCREEN_ON",113
"44","-05-22 19:51:19.513","-05-22 19:50:36.983","SCREEN_OFF",113
"45","-05-27 19:47:15.869","-05-27 19:37:36.869","SCREEN_OFF",61
"46","-05-08 17:47:32.103","-05-08 17:47:22.746","SCREEN_OFF",113
"47","-06-04 18:31:33.324","-06-04 18:31:31.889","SCREEN_ON",61
"48","-05-10 18:36:28.425","-05-10 18:36:26.897","SCREEN_ON",113
"49","-05-29 14:12:07.310","-05-29 14:09:50.418","SCREEN_ON",113
"50","-05-11 18:10:13.551","-05-11 18:09:55.249","SCREEN_OFF",113
