"","timestamp","address","capabilities","frequency","name","rssi","userid"
"1","-05-08 00:29:57.654","badfbd37e706daa0a3df0ea4668de8be2def26747205f38e4564ffe25cd58188","[u'ESS']",2437,"Tecnodata2G",-91,61
"2","-05-22 10:10:25.612","91fc4de1d2e90f05d36813f0f39d118f3421402196f24e4e6f51035464ec2bb1","['ESS']",2437,"TrentinoWiFi",-62,113
"3","-06-04 06:41:10.225","72fb0a0b7eb3d4b951ba22b98e748a794bd08fc262061aa42c2f377ee887313b","[u'WPA2-PSK-CCMP', u'WPS', u'ESS']",2462,"TIM-29048751",-65,61
"4","-06-04 05:50:06.241","cac6eadb02e5c8c778cc0de6118a875f281d1c7de0ba99fdf2ec0dc434867be4","[u'WPA-PSK-CCMP+TKIP', u'WPA2-PSK-CCMP+TKIP', u'ESS']",2462,"TNCAP1DCCCF",-85,61
"5","-05-09 18:41:08.750","85d7bcc022860cb907e86aa5a62a78a068b383a75ba529af6ff4985cfa5c4c5a","[u'ESS']",2462,"CrmVillaAgnedo",-90,61
"6","-05-09 22:55:55.018","badfbd37e706daa0a3df0ea4668de8be2def26747205f38e4564ffe25cd58188","[u'ESS']",2437,"Tecnodata2G",-91,61
"7","-05-09 21:18:48.717","badfbd37e706daa0a3df0ea4668de8be2def26747205f38e4564ffe25cd58188","[u'ESS']",2437,"Tecnodata2G",-87,61
"8","-05-29 01:11:05.637","85d7bcc022860cb907e86aa5a62a78a068b383a75ba529af6ff4985cfa5c4c5a","[u'ESS']",2462,"CrmVillaAgnedo",-93,61
"9","-05-23 23:50:43.021","b341871b5dc4e56ff5fb155834fa7bf605bdf29188a674be157878805e5f7de9","['WPA2-EAP-CCMP' 'ESS']",2462,"unitn-x",-82,113
"10","-05-11 03:45:23.682","cac6eadb02e5c8c778cc0de6118a875f281d1c7de0ba99fdf2ec0dc434867be4","[u'WPA-PSK-CCMP+TKIP', u'WPA2-PSK-CCMP+TKIP', u'ESS']",2412,"TNCAP1DCCCF",-79,61
"11","-05-08 01:39:28.590","8e194bca013c1f52d0705bd5a57868fbbca51599e3ad52267bacf78ab496607f","[u'ESS']",2437,"TrentinoWiFi",-92,61
"12","-05-08 10:22:35.964","8e194bca013c1f52d0705bd5a57868fbbca51599e3ad52267bacf78ab496607f","[u'ESS']",2437,"TrentinoWiFi",-90,61
"13","-05-11 08:14:22.092","efa5e2228f0c97bff15233cf07754274153930355e3310f70f17cf4add692552","[u'ESS']",2467,"Vodafone-WiFi",-93,61
"14","-05-29 05:02:39.722","85d7bcc022860cb907e86aa5a62a78a068b383a75ba529af6ff4985cfa5c4c5a","[u'ESS']",2462,"CrmVillaAgnedo",-92,61
"15","-05-09 20:26:10.951","72fb0a0b7eb3d4b951ba22b98e748a794bd08fc262061aa42c2f377ee887313b","[u'WPA2-PSK-CCMP', u'WPS', u'ESS']",2437,"TIM-29048751",-65,61
"16","-06-04 05:37:04.462","85d7bcc022860cb907e86aa5a62a78a068b383a75ba529af6ff4985cfa5c4c5a","[u'ESS']",2462,"CrmVillaAgnedo",-94,61
"17","-05-29 08:12:35.733","bfbe7fb43f4579279a4bee8147c448cb636796b5fa34430fcff305f304de4492","[u'WPA-PSK-TKIP', u'WPA2-PSK-CCMP', u'WPS', u'ESS']",2412,"TNCAP1DCCCF",-91,61
"18","-05-29 04:58:38.700","cac6eadb02e5c8c778cc0de6118a875f281d1c7de0ba99fdf2ec0dc434867be4","[u'WPA-PSK-CCMP+TKIP', u'WPA2-PSK-CCMP+TKIP', u'ESS']",2412,"TNCAP1DCCCF",-80,61
"19","-05-09 23:14:14.061","8e194bca013c1f52d0705bd5a57868fbbca51599e3ad52267bacf78ab496607f","[u'ESS']",2437,"TrentinoWiFi",-88,61
"20","-05-11 04:25:13.770","cac6eadb02e5c8c778cc0de6118a875f281d1c7de0ba99fdf2ec0dc434867be4","[u'WPA-PSK-CCMP+TKIP', u'WPA2-PSK-CCMP+TKIP', u'ESS']",2412,"TNCAP1DCCCF",-79,61
"21","-06-04 04:32:04.284","cac6eadb02e5c8c778cc0de6118a875f281d1c7de0ba99fdf2ec0dc434867be4","[u'WPA-PSK-CCMP+TKIP', u'WPA2-PSK-CCMP+TKIP', u'ESS']",2462,"TNCAP1DCCCF",-92,61
"22","-05-09 23:31:53.089","5d5b15f4f74b0206403afc53506988e433ab310741020e8a5c5f2d1037183259","[u'WPA2-PSK-CCMP', u'WPS', u'ESS']",2437,"Fuzinato_Family",-87,61
"23","-05-09 18:36:06.665","85d7bcc022860cb907e86aa5a62a78a068b383a75ba529af6ff4985cfa5c4c5a","[u'ESS']",2462,"CrmVillaAgnedo",-92,61
"24","-05-29 06:27:37.923","bfbe7fb43f4579279a4bee8147c448cb636796b5fa34430fcff305f304de4492","[u'WPA-PSK-TKIP', u'WPA2-PSK-CCMP', u'WPS', u'ESS']",2412,"TNCAP1DCCCF",-91,61
"25","-05-27 00:51:56.454","85d7bcc022860cb907e86aa5a62a78a068b383a75ba529af6ff4985cfa5c4c5a","[u'ESS']",2462,"CrmVillaAgnedo",-90,61
"26","-05-11 20:38:18.801","f1bb01d0cd135d37c99ff8279543ff61b3b7e8190ddae286c1a529ca6b906ea1","[u'ESS']",2437,"Wilmanet",-89,61
"27","-05-09 20:40:32.985","bfbe7fb43f4579279a4bee8147c448cb636796b5fa34430fcff305f304de4492","[u'WPA-PSK-TKIP', u'WPA2-PSK-CCMP', u'WPS', u'ESS']",2412,"TNCAP1DCCCF",-78,61
"28","-05-09 21:52:21.061","5d5b15f4f74b0206403afc53506988e433ab310741020e8a5c5f2d1037183259","[u'WPA2-PSK-CCMP', u'WPS', u'ESS']",2437,"Fuzinato_Family",-83,61
"29","-05-09 19:08:02.235","badfbd37e706daa0a3df0ea4668de8be2def26747205f38e4564ffe25cd58188","[u'ESS']",2437,"Tecnodata2G",-90,61
"30","-05-09 19:00:21.969","cac6eadb02e5c8c778cc0de6118a875f281d1c7de0ba99fdf2ec0dc434867be4","[u'WPA-PSK-CCMP+TKIP', u'WPA2-PSK-CCMP+TKIP', u'ESS']",2412,"TNCAP1DCCCF",-76,61
"31","-05-20 20:15:07.470","13fb6866cb99f9bf49f72ad5abc96e909303922185e3c7bd783302f8a1679b9c","[u'WPA2-PSK-CCMP+TKIP', u'ESS']",2437,"WiFi Hotspot 2465",-91,61
"32","-06-02 00:38:15.708","badfbd37e706daa0a3df0ea4668de8be2def26747205f38e4564ffe25cd58188","[u'ESS']",2437,"Tecnodata2G",-91,61
"33","-05-09 15:44:19.517","9c34168204e889ea30053ac280921757f2443a1754f9a85fe00943fa5a1697be","[u'ESS']",2432,"Vodafone-WiFi",-84,61
"34","-05-09 12:04:19.591","610cdf338dfc7efe040c006d44d86df351c94eec3298086fc8788aeb658c0e90","[u'ESS']",2462,"unitn",-92,61
"35","-05-11 06:21:08.754","bfbe7fb43f4579279a4bee8147c448cb636796b5fa34430fcff305f304de4492","[u'WPA-PSK-TKIP', u'WPA2-PSK-CCMP', u'WPS', u'ESS']",2412,"TNCAP1DCCCF",-90,61
"36","-06-04 06:38:36.175","72fb0a0b7eb3d4b951ba22b98e748a794bd08fc262061aa42c2f377ee887313b","[u'WPA2-PSK-CCMP', u'WPS', u'ESS']",2462,"TIM-29048751",-69,61
"37","-05-09 19:18:53.964","cac6eadb02e5c8c778cc0de6118a875f281d1c7de0ba99fdf2ec0dc434867be4","[u'WPA-PSK-CCMP+TKIP', u'WPA2-PSK-CCMP+TKIP', u'ESS']",2412,"TNCAP1DCCCF",-80,61
"38","-05-20 19:32:46.223","b2bd6b471ac1274c6594c2334dcc080f07b6ee8dea37f8e5c5d663114fa3ddeb","[u'WPA2-PSK-CCMP', u'WPS', u'ESS']",2422,"TP-LINK_FBD5",-69,61
"39","-05-09 11:51:09.767","ef8b52c30f50953bc08093589b0ae97b1e91c9426fe3f73db1b4d35301d076c8","[u'ESS']",2412,"unitn",-76,61
"40","-05-08 01:44:35.063","8e194bca013c1f52d0705bd5a57868fbbca51599e3ad52267bacf78ab496607f","[u'ESS']",2437,"TrentinoWiFi",-92,61
"41","-06-04 09:29:24.326","149ab6fd548e4ecb9a03fdc6aebf4f9575a7379743acf4c92efe3a1370f19c11","[u'WPA-EAP-TKIP', u'ESS']",2437,"",-90,61
"42","-05-09 23:54:34.082","badfbd37e706daa0a3df0ea4668de8be2def26747205f38e4564ffe25cd58188","[u'ESS']",2437,"Tecnodata2G",-88,61
"43","-05-09 23:26:36.103","cac6eadb02e5c8c778cc0de6118a875f281d1c7de0ba99fdf2ec0dc434867be4","[u'WPA-PSK-CCMP+TKIP', u'WPA2-PSK-CCMP+TKIP', u'ESS']",2412,"TNCAP1DCCCF",-71,61
"44","-05-11 18:47:32.693","478dcdc91e5f9fb9d8fe5ec0c450ea58a7c97d02b13ea52fe4e36f4978a3a5dd","[u'ESS']",2437,"ChromecastStanza",-89,61
"45","-05-27 01:42:05.856","cac6eadb02e5c8c778cc0de6118a875f281d1c7de0ba99fdf2ec0dc434867be4","[u'WPA-PSK-CCMP+TKIP', u'WPA2-PSK-CCMP+TKIP', u'ESS']",2412,"TNCAP1DCCCF",-80,61
"46","-05-29 02:50:11.731","cac6eadb02e5c8c778cc0de6118a875f281d1c7de0ba99fdf2ec0dc434867be4","[u'WPA-PSK-CCMP+TKIP', u'WPA2-PSK-CCMP+TKIP', u'ESS']",2412,"TNCAP1DCCCF",-80,61
"47","-05-27 00:02:24.026","8e194bca013c1f52d0705bd5a57868fbbca51599e3ad52267bacf78ab496607f","[u'ESS']",2437,"TrentinoWiFi",-92,61
"48","-05-08 01:42:03.981","badfbd37e706daa0a3df0ea4668de8be2def26747205f38e4564ffe25cd58188","[u'ESS']",2437,"Tecnodata2G",-91,61
"49","-05-11 20:25:37.709","dd24f888bb9b31b03bfece33c4a1e2bdebe7307522149d8f597e0de8dc2ed1f3","[u'ESS']",2472,"Vodafone-WiFi",-84,61
"50","-05-09 21:28:48.379","cac6eadb02e5c8c778cc0de6118a875f281d1c7de0ba99fdf2ec0dc434867be4","[u'WPA-PSK-CCMP+TKIP', u'WPA2-PSK-CCMP+TKIP', u'ESS']",2412,"TNCAP1DCCCF",-76,61
