"","userid","dt","questiontimestamp","notificationtimestamp","answertimestamp","answerduration","delta","what","how","where","withwhom","mood","week"
"1",99,"-05-19 01:30:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1st week"
"2",12,"-05-17 20:00:00","-05-16 22:02:18","-05-16 22:02:19","-05-16 22:54:49",8632,3150263,"Eating",NA,"Home","Alone",4,"1st week"
"3",138,"-05-12 13:30:00","-05-12 15:32:18","-05-12 15:32:21","-05-12 15:44:35",8725,734016,"Sport",NA,"Outdoors","Friend(s)",5,"1st week"
"4",84,"-05-17 01:30:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1st week"
"5",52,"-05-29 06:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2nd week"
"6",140,"-05-31 17:00:00","-05-31 19:51:21","-05-31 20:07:43","-05-31 20:08:26",9936,42990,"Eating",NA,"House (friends, others)","Friend(s)",4,"2nd week"
"7",28,"-05-12 18:30:00","-05-12 20:32:18","-05-12 20:33:39","-05-12 21:19:44",9079,2765908,"Social life",NA,"Outdoors","Friend(s)",5,"1st week"
"8",81,"-05-13 01:00:00","-05-13 03:02:18","-05-13 03:02:21","-05-13 04:02:13",10545,3592672,"Social life",NA,"Outdoors","Friend(s)",4,"1st week"
"9",82,"-05-21 21:30:00","-05-20 23:32:18","-05-20 23:32:18","-05-20 23:55:30",4932,1392040,"Watcing Youtube, Tv-shows, etc.",NA,"Relatives Home","Alone",3,"1st week"
"10",140,"-05-26 09:00:00","-05-26 11:51:21","-05-26 11:51:22","-05-26 12:05:25",7686,843354,"Studying",NA,"Home","Friend(s)",4,"2nd week"
"11",56,"-05-09 13:30:00","-05-09 15:32:18","-05-09 15:32:20","-05-09 16:21:18",8348,2937965,"En route","By foot",NA,"Partner",5,"1st week"
"12",55,"-05-17 07:30:00","-05-17 09:32:18","-05-17 09:32:20","-05-17 09:32:20",0,6,"I will go to sleep",NA,NA,NA,NA,"1st week"
"13",111,"-05-13 10:30:00","-05-13 12:32:18","-05-13 12:32:19","-05-13 14:10:30",4795,5890623,"Studying",NA,"Home","Alone",3,"1st week"
